year,match_num,match_num_t,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,W_L,H_A
1992,55,55,['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],"['02', '76']","['02', '76']","['02', '76', '89']","['02', '76', '89']",W,H
1992,55,55,[],[],[],[],[],[],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],L,A
1992,56,56,[],[],[],[],[],[],[],[],[],[],[],[],['60'],['60'],['60'],['60'],['60'],['60'],['60'],['60'],D,H
1992,56,56,[],[],[],[],[],[],[],[],[],[],[],['51'],['51'],['51'],['51'],['51'],['51'],['51'],['51'],['51'],D,A
1992,57,57,[],[],[],[],[],[],[],[],[],[],[],['54'],['54'],['54'],['54'],['54'],['54'],"['54', '82']","['54', '82']","['54', '82']",D,H
1992,57,57,[],[],[],[],[],['26'],['26'],['26'],['26'],['26'],['26'],['26'],"['26', '59']","['26', '59']","['26', '59']","['26', '59']","['26', '59']","['26', '59']","['26', '59']","['26', '59']",D,A
1992,58,58,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['85'],"['85', '90']","['85', '90']",D,H
1992,58,58,[],[],[],[],[],[],[],[],[],[],[],['53'],['53'],['53'],['53'],['53'],"['53', '76']","['53', '76']","['53', '76']","['53', '76']",D,A
1992,59,59,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,59,59,[],[],[],[],[],[],[],[],[],[],['49'],['49'],['49'],['49'],['49'],['49'],['49'],['49'],['49'],['49'],W,A
1992,60,60,[],[],[],[],[],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],['30'],L,H
1992,60,60,[],[],[],[],[],[],[],['40'],"['40', '42']","['40', '42']","['40', '42']","['40', '42']","['40', '42', '57']","['40', '42', '57']","['40', '42', '57']","['40', '42', '57']","['40', '42', '57']","['40', '42', '57']","['40', '42', '57']","['40', '42', '57']",W,A
1992,61,61,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['88'],['88'],W,H
1992,61,61,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,62,62,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,H
1992,62,62,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,A
1992,63,63,[],[],[],[],[],[],[],[],[],[],[],[],[],['62'],['62'],['62'],['62'],['62'],['62'],['62'],L,H
1992,63,63,[],[],[],[],[],[],[],[],['42'],['42'],"['42', '49']","['42', '49']","['42', '49']","['42', '49']","['42', '49']","['42', '49']","['42', '49']","['42', '49']","['42', '49']","['42', '49']",W,A
1992,64,64,[],[],[],[],[],[],[],[],['43'],['43'],"['43', '46']","['43', '46']","['43', '46']","['43', '46']","['43', '46']","['43', '46']","['43', '46']","['43', '46']","['43', '46']","['43', '46']",W,H
1992,64,64,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,65,65,[],[],[],['18'],['18'],['18'],['18'],['18'],"['18', '42']","['18', '42']","['18', '42']","['18', '42']","['18', '42']","['18', '42']","['18', '42']","['18', '42', '72']","['18', '42', '72']","['18', '42', '72']","['18', '42', '72']","['18', '42', '72']",W,H
1992,65,65,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,66,66,['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],"['02', '52']","['02', '52', '59']","['02', '52', '59', '62']","['02', '52', '59', '62']","['02', '52', '59', '62']","['02', '52', '59', '62']","['02', '52', '59', '62']","['02', '52', '59', '62']","['02', '52', '59', '62']",W,H
1992,66,66,[],[],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],L,A
1992,67,67,[],[],[],[],[],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],"['27', '89']","['27', '89']",W,H
1992,67,67,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['72'],['72'],['72'],['72'],['72'],L,A
1992,68,68,[],[],[],[],[],[],['35'],['35'],['35'],['35'],['35'],['35'],['35'],['35'],['35'],['35'],['35'],"['35', '83']","['35', '83']","['35', '83']",W,H
1992,68,68,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,69,69,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['87'],['87'],W,H
1992,69,69,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,70,70,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,70,70,[],[],[],[],[],[],[],[],[],[],[],['55'],['55'],['55'],['55'],['55'],['55'],['55'],['55'],['55'],W,A
1992,71,71,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,H
1992,71,71,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,A
1992,72,72,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,72,72,[],[],[],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],"['20', '55']","['20', '55']","['20', '55']","['20', '55']","['20', '55', '75']","['20', '55', '75']","['20', '55', '75']","['20', '55', '75']","['20', '55', '75']",W,A
1992,73,73,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['79'],['79'],"['79', '90']","['79', '90']",W,H
1992,73,73,[],[],[],[],[],[],[],[],['42'],['42'],['42'],['42'],['42'],['42'],['42'],['42'],['42'],['42'],['42'],['42'],L,A
1992,74,74,[],[],[],[],[],[],[],['39'],['39'],['39'],['39'],['39'],['39'],['39'],['39'],['39'],"['39', '80']","['39', '80']","['39', '80', '86']","['39', '80', '86']",W,H
1992,74,74,[],[],[],[],[],[],['34'],['34'],['34'],['34'],['34'],['34'],['34'],['34'],['34'],['34'],['34'],"['34', '82']","['34', '82']","['34', '82']",L,A
1992,75,75,[],[],[],[],[],['28'],['28'],['28'],"['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']","['28', '44']",W,H
1992,75,75,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,76,76,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,76,76,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['71'],['71'],['71'],['71'],['71'],W,A
1992,77,77,['02'],['02'],['02'],['02'],['02'],"['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']","['02', '29']",L,H
1992,77,77,[],[],[],[],[],[],[],[],[],[],['46'],['46'],['46'],['46'],['46'],"['46', '74']","['46', '74', '79']","['46', '74', '79']","['46', '74', '79']","['46', '74', '79']",W,A
1992,78,78,[],[],[],[],[],[],[],[],[],[],[],[],[],['64'],"['64', '66']","['64', '66']","['64', '66']","['64', '66']","['64', '66']","['64', '66']",D,H
1992,78,78,[],[],[],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],['19'],"['19', '78']","['19', '78']","['19', '78']","['19', '78']",D,A
1992,79,79,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,79,79,[],[],[],[],[],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],"['29', '76']","['29', '76']","['29', '76']","['29', '76']",W,A
1992,80,80,[],[],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],"['14', '48']","['14', '48']","['14', '48']","['14', '48']","['14', '48']","['14', '48']","['14', '48']","['14', '48']","['14', '48']","['14', '48']",W,H
1992,80,80,[],[],[],[],[],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],['27'],L,A
